Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-02-09 14:04:20.903 -0600,"Success",0:00:00,0,0,0,"20180209_140420.903/LogFile.txt","","",1
2018-02-09 14:06:06.338 -0600,"Success",0:00:00,0,0,0,"20180209_140606.338/LogFile.txt","","",1
2018-02-09 14:07:26.685 -0600,"Success",0:00:00,0,0,0,"20180209_140726.685/LogFile.txt","","",1
2018-02-09 14:07:59.380 -0600,"Success",0:00:00,0,0,0,"20180209_140759.380/LogFile.txt","","",1
2018-02-09 14:09:04.688 -0600,"Success",0:00:00,0,0,0,"20180209_140904.688/LogFile.txt","","",1
