Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Questions,Success,17,3,2018-02-09 14:03:22 -0600,2018-02-09 14:39:36 -0600,0:00:04
NewTest1,Success,5,0,2018-02-09 14:04:20 -0600,2018-02-09 14:09:04 -0600,0:00:00
